Room 3, 79 minute average visit, 4 visitors(s) totals
Room 37, 65 minute average visit, 3 visitors(s) totals
Room 5, 53 minute average visit, 1 visitors(s) totals
Room 12, 46 minute average visit, 3 visitors(s) totals
Room 15, 107 minute average visit, 6 visitors(s) totals
Room 8, 67 minute average visit, 4 visitors(s) totals
Room 26, 21 minute average visit, 1 visitors(s) totals
Room 32, 62 minute average visit, 4 visitors(s) totals
Room 6, 50 minute average visit, 2 visitors(s) totals
Room 28, 81 minute average visit, 4 visitors(s) totals
Room 4, 40 minute average visit, 5 visitors(s) totals
Room 7, 34 minute average visit, 2 visitors(s) totals
Room 14, 102 minute average visit, 2 visitors(s) totals
Room 16, 102 minute average visit, 3 visitors(s) totals
Room 21, 70 minute average visit, 6 visitors(s) totals
Room 22, 33 minute average visit, 2 visitors(s) totals
Room 25, 69 minute average visit, 5 visitors(s) totals
Room 9, 83 minute average visit, 5 visitors(s) totals
Room 2, 38 minute average visit, 1 visitors(s) totals
Room 34, 37 minute average visit, 2 visitors(s) totals
Room 31, 89 minute average visit, 3 visitors(s) totals
Room 20, 98 minute average visit, 2 visitors(s) totals
Room 35, 69 minute average visit, 3 visitors(s) totals
Room 23, 37 minute average visit, 3 visitors(s) totals
Room 30, 62 minute average visit, 4 visitors(s) totals
Room 1, 36 minute average visit, 4 visitors(s) totals
Room 19, 37 minute average visit, 2 visitors(s) totals
Room 29, 80 minute average visit, 3 visitors(s) totals
Room 13, 121 minute average visit, 1 visitors(s) totals
Room 11, 111 minute average visit, 1 visitors(s) totals
Room 38, 46 minute average visit, 3 visitors(s) totals
Room 17, 112 minute average visit, 1 visitors(s) totals
Room 10, 43 minute average visit, 1 visitors(s) totals
